Sample Name	Protocol REF	Protocol REF	Protocol REF	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Factor Value[seed collection location]	Factor Value[strain origin]
Bla-11	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bla-11_1	5_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	5_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Blanes/Gerona, Spain	wild type
Bla-11	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bla-11_2	5_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	5_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Blanes/Gerona, Spain	wild type
Bla-11	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bla-11_3	5_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	5_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Blanes/Gerona, Spain	wild type
Blh-1	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Blh-1_1	6_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	6_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Bulhary, Austria	wild type
Blh-1	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Blh-1_2	6_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	6_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Bulhary, Austria	wild type
Blh-1	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Blh-1_3	6_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	6_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Bulhary, Austria	wild type
Bsch-2	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bsch-2_1	7_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	7_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Buchschlag/FFM, Germany	wild type
Bsch-2	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bsch-2_2	7_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	7_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Buchschlag/FFM, Germany	wild type
Bsch-2	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bsch-2_3	7_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	7_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Buchschlag/FFM, Germany	wild type
Bu-2	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bu-2_1	8_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	8_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Burghaun/Rhon, Germany	wild type
Bu-2	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bu-2_2	8_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	8_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Burghaun/Rhon, Germany	wild type
Bu-2	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bu-2_3	8_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	8_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Burghaun/Rhon, Germany	wild type
Bur-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bur-0_1	9_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	9_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Burren (Eire), ireland	wild type
Bur-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bur-0_2	9_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	9_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Burren (Eire), ireland	wild type
Bur-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bur-0_3	9_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	9_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Burren (Eire), ireland	wild type
C24	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	C24_1	10_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	10_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Lousa, Portugal	wild type
C24	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	C24_2	10_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	10_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Lousa, Portugal	wild type
C24	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	C24_3	10_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	10_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Lousa, Portugal	wild type
Can-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Can-0_1	11_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	11_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	de Gran Canaria, Morocco	wild type
Can-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Can-0_2	11_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	11_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	de Gran Canaria, Morocco	wild type
Can-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Can-0_3	11_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	11_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	de Gran Canaria, Morocco	wild type
Cha-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Cha-0_1	12_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	12_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Champex, Switzerland	wild type
Cha-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Cha-0_2	12_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	12_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Champex, Switzerland	wild type
Cha-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Cha-0_3	12_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	12_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Champex, Switzerland	wild type
Co-3	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Co-3_1	13_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	13_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Coimbra, Portugal	wild type
Co-3	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Co-3_2	13_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	13_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Coimbra, Portugal	wild type
Co-3	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Co-3_3	13_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	13_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Coimbra, Portugal	wild type
Col-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Col-0_1	14_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	14_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Columbia, USA	wild type
Col-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Col-0_2	14_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	14_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Columbia, USA	wild type
